"test","browser","url","score","title","description"
"axe","CHROME","https://www.googletagmanager.com/ns.html?id=GTM-PQQZC4G","0","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe","CHROME","https://www.googletagmanager.com/ns.html?id=GTM-PQQZC4G","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://www.googletagmanager.com/ns.html?id=GTM-PQQZC4G","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://www.googletagmanager.com/ns.html?id=GTM-PQQZC4G","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://chrome.google.com/webstore/detail/axe-web-accessibility-tes/lhdoppojpmngadmnindnejefpokejbdd","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://chrome.google.com/webstore/detail/axe-web-accessibility-tes/lhdoppojpmngadmnindnejefpokejbdd","0","ARIA attributes must conform to valid names","Ensures attributes that begin with aria- are valid ARIA attributes"
"axe","CHROME","https://chrome.google.com/webstore/detail/axe-web-accessibility-tes/lhdoppojpmngadmnindnejefpokejbdd","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","CHROME","https://chrome.google.com/webstore/detail/axe-web-accessibility-tes/lhdoppojpmngadmnindnejefpokejbdd","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://twitter.com/dequesystems","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://twitter.com/dequesystems","0","Required ARIA attributes must be provided","Ensures elements with ARIA roles have all required ARIA attributes"
"axe","CHROME","https://twitter.com/dequesystems","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","CHROME","https://twitter.com/dequesystems","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","CHROME","https://twitter.com/dequesystems","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://twitter.com/dequesystems","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://github.com/dequelabs","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://github.com/dequelabs","0","autocomplete attribute must be used correctly","Ensure the autocomplete attribute is correct and suitable for the form field"
"axe","CHROME","https://github.com/dequelabs","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","CHROME","https://github.com/dequelabs","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","CHROME","https://www.facebook.com/dequesystems","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Buttons must have discernible text","Ensures buttons have discernible text"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","CHROME","https://www.facebook.com/dequesystems","0","IDs used in ARIA and labels must be unique","Ensures every id attribute value used in ARIA and in labels is unique"
"axe","CHROME","https://www.facebook.com/dequesystems","0","id attribute value must be unique","Ensures every id attribute value is unique"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Frames must have title attribute","Ensures <iframe> and <frame> elements contain a non-empty title attribute"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe","CHROME","https://www.facebook.com/dequesystems","0","Links must have discernible text","Ensures links have discernible text"
"axe","CHROME","https://www.facebook.com/dequesystems","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://www.deque.com/","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://www.deque.com/","0","Form elements must have labels","Ensures every form element has a label"
"axe","CHROME","https://www.deque.com/","0","Page must not have more than one banner landmark","Ensures the page has at most one banner landmark"
"axe","CHROME","https://www.deque.com/","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","CHROME","https://www.deque.com/accessible-design/","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://www.deque.com/accessible-design/","0","Form elements must have labels","Ensures every form element has a label"
"axe","CHROME","https://www.deque.com/accessible-design/","0","Page must not have more than one banner landmark","Ensures the page has at most one banner landmark"
"axe","CHROME","https://www.deque.com/accessible-design/","0","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe","CHROME","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe","CHROME","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe","CHROME","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://www.adatitleiii.com/wp-content/uploads/sites/121/2018/10/DOJ-letter-to-congress.pdf","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe","CHROME","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe","CHROME","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://f.hubspotusercontent00.net/hubfs/153358/Harland%20Clarke%20Success%20Story.pdf","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe","CHROME","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe","CHROME","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://accessibility.deque.com/hubfs/Sample-VPAT.pdf","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://www.youtube.com/embed/WveJjhwaEDI","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://www.youtube.com/embed/WveJjhwaEDI","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://www.youtube.com/embed/WveJjhwaEDI","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://www.youtube.com/embed/owBCWftVB7E?feature=oembed","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Form elements must have labels","Ensures every form element has a label"
"axe","CHROME","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Page must not have more than one banner landmark","Ensures the page has at most one banner landmark"
"axe","CHROME","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe","CHROME","https://www.section508.gov/blog/accessibility-news-the-section-508-Update","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","CHROME","https://youtu.be/uGXGnvGjYEo","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","CHROME","https://youtu.be/uGXGnvGjYEo","0","IDs of active elements must be unique","Ensures every id attribute value of active elements is unique"
"axe","CHROME","https://youtu.be/uGXGnvGjYEo","0","id attribute value must be unique","Ensures every id attribute value is unique"
"axe","CHROME","https://youtu.be/uGXGnvGjYEo","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","CHROME","https://www.air.org/system/files/downloads/report/Hidden-Market-Spending-Power-of-People-with-Disabilities-April-2018.pdf","0","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe","CHROME","https://www.air.org/system/files/downloads/report/Hidden-Market-Spending-Power-of-People-with-Disabilities-April-2018.pdf","0","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe","CHROME","https://www.air.org/system/files/downloads/report/Hidden-Market-Spending-Power-of-People-with-Disabilities-April-2018.pdf","0","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
