"test","browser","url","score","title","description"
"axe","Chrome","https://www.drupal.com/","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.drupal.com/","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/","0","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe","Chrome","https://www.drupal.com/","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/contact/case-study-submission","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/contact/case-study-submission","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/contact/case-study-submission","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/contact/case-study-submission","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/contact/case-study-submission","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/contact","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/contact","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/contact","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/contact","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/contact","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/feature/multilingual","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/feature/multilingual","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/feature/multilingual","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/feature/multilingual","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/feature/multilingual","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/feature/drupal-content-authoring","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/feature/drupal-content-authoring","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/feature/drupal-content-authoring","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/feature/drupal-content-authoring","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/feature/drupal-content-authoring","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/case-study/economist-espresso-app-drupal","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/case-study/economist-espresso-app-drupal","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/case-study/economist-espresso-app-drupal","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/case-study/economist-espresso-app-drupal","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/case-study/economist-espresso-app-drupal","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/advertise","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/advertise","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/advertise","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/advertise","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/advertise","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/product/web-content-management","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/product/web-content-management","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/product/web-content-management","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/product/web-content-management","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/product/web-content-management","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/why-use-drupal","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/why-use-drupal","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/why-use-drupal","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/why-use-drupal","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/why-use-drupal","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Chrome","https://www.drupal.com/trademark","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Chrome","https://www.drupal.com/trademark","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Chrome","https://www.drupal.com/trademark","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Chrome","https://www.drupal.com/trademark","0","Links must have discernible text","Ensures links have discernible text"
"axe","Chrome","https://www.drupal.com/trademark","0","Zooming and scaling must not be disabled","Ensures <meta name=""viewport""> does not disable text scaling and zooming"
"axe","Chrome","https://www.drupal.com/trademark","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
