"csvline","url","filename","local_path","encrypted","decrypt_pass","istagged","pages","toc","form","fields","tables","word_count","char_count","words_per_page","chars_per_word","image_count","%_img_per_page","ocr_risk","author","creator","producer","subject","title","text"
"2","https://www.drupal.com/","[Errno 2] No such file or directory: 'E:\\PROJECTS\\perception-dev-3\\REPORTS\\DRUPAL\\PDF\\PDFs\\'","PDF FAILED TO OPEN:E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\","","","","","","","","","","","","","","","","","","","","","",""
"3","https://www.drupal.com/advertise","advertise","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\advertise","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"4","https://www.drupal.com/contact/advertising","advertising","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\advertising","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"5","https://www.drupal.com/contact/case-study-submission","case-study-submission","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\case-study-submission","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"7","https://www.drupal.com/why-use-drupal","why-use-drupal","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\why-use-drupal","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"8","https://www.drupal.com/feature/drupal-content-authoring","drupal-content-authoring","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\drupal-content-authoring","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"9","https://www.drupal.com/feature/security","security","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\security","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"10","https://www.drupal.com/feature/drupal-scalability","drupal-scalability","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\drupal-scalability","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"11","https://www.drupal.com/trademark","trademark","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\trademark","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
"12","https://www.drupal.com/product/web-content-management","web-content-management","E:\PROJECTS\perception-dev-3\REPORTS\DRUPAL\PDF\PDFs\web-content-management","FAILED: EOF marker not found","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TRUE","FORMS: getFields() missing 1 required positional argument: 'self'","FIELDS: getFields() missing 1 required positional argument: 'self'","NOT RUN","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'property' object has no attribute 'author'","CREATOR: 'property' object has no attribute 'creator'","PRODUCER: 'property' object has no attribute 'producer'","SUBJECT: 'property' object has no attribute 'subject'","TITLE: 'property' object has no attribute 'title'","getNumPages() missing 1 required positional argument: 'self' :: TEXT sample failed!!"
