"Test","URL","Error Count","Error","Error Description"
"axe_c_summary","url","5273","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe_c_summary","url","3756","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe_c_summary","url","2290","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe_c_summary","url","1654","Page must have one main landmark","Ensures the page has only one main landmark and each iframe in the page has at most one main landmark"
"axe_c_summary","url","339","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe_c_summary","url","188","<html> element must have a lang attribute","Ensures every HTML document has a lang attribute"
"axe_c_summary","url","157","Page must contain a level-one heading","Ensure that the page, or at least one of its frames contains a level-one heading"
"axe_c_summary","url","136","Images must have alternate text","Ensures <img> elements have alternate text or a role of none or presentation"
"axe_c_summary","url","67","Form elements must have labels","Ensures every form element has a label"
"axe_c_summary","url","50","The skip-link target should exist and be focusable","Ensure all skip links have a focusable target"
"axe_c_summary","url","36","Links must have discernible text","Ensures links have discernible text"
"axe_c_summary","url","35","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe_c_summary","url","35","Checkbox inputs with the same name attribute value must be part of a group","Ensures related <input type=""checkbox""> elements have a group and that the group designation is consistent"
"axe_c_summary","url","35","Radio inputs with the same name attribute value must be part of a group","Ensures related <input type=""radio""> elements have a group and that the group designation is consistent"
"axe_c_summary","url","34","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Ensures that lists are structured correctly"
"axe_c_summary","url","31","Documents must have <title> element to aid in navigation","Ensures each HTML document contains a non-empty <title> element"
"axe_c_summary","url","19","Form elements should have a visible label","Ensures that every form element is not solely labeled using the title or aria-describedby attributes"
"axe_c_summary","url","12","Text of buttons and links should not be repeated in the image alternative","Ensure button and link text is not repeated as image alternative"
"axe_c_summary","url","11","id attribute value must be unique","Ensures every id attribute value is unique"
"axe_c_summary","url","11","Headings must not be empty","Ensures headings have discernible text"
"axe_c_summary","url","5","All cells in a table element that use the headers attribute must only refer to other cells of that same table","Ensure that each cell in a table using the headers refers to another cell in that table"
"axe_c_summary","url","2","Frames must have title attribute","Ensures <iframe> and <frame> elements contain a non-empty title attribute"
"axe_c_summary","url","2","<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script> or <template> elements","Ensures <dl> elements are structured correctly"
"axe_c_summary","url","2","IDs of active elements must be unique","Ensures every id attribute value of active elements is unique"
"axe_c_summary","url","1","lang attribute must have a valid value","Ensures lang attributes have valid values"
"axe_c_summary","url","1","ARIA roles used must conform to valid values","Ensures all elements with a role attribute use a valid value"
"axe_c_summary","url","1","scope attribute should be used correctly","Ensures the scope attribute is used correctly on tables"
"axe_c_summary","url","1","ARIA attributes must conform to valid values","Ensures all ARIA attributes have valid values"
"axe_c_summary","url","1","IDs used in ARIA and labels must be unique","Ensures every id attribute value used in ARIA and in labels is unique"
