"test","browser","url","score","title","description"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/roxanne-eliana-yanez-parada","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/roxanne-eliana-yanez-parada","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/roxanne-eliana-yanez-parada","0","Form elements must have labels","Ensures every form element has a label"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/roxanne-eliana-yanez-parada","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/roxanne-eliana-yanez-parada","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/mieczyslaw-mike-widziak","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/mieczyslaw-mike-widziak","0","Heading levels should only increase by one","Ensures the order of headings is semantically correct"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/mieczyslaw-mike-widziak","0","Form elements must have labels","Ensures every form element has a label"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/mieczyslaw-mike-widziak","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/wanted/mieczyslaw-mike-widziak","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Firefox","https://www.rcmp-grc.gc.ca/detach/en/d/274","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Firefox","https://www.rcmp-grc.gc.ca/detach/en/d/274","0","Elements must have sufficient color contrast","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds"
"axe","Firefox","https://www.rcmp-grc.gc.ca/detach/en/d/274","0","Form elements must have labels","Ensures every form element has a label"
"axe","Firefox","https://www.rcmp-grc.gc.ca/detach/en/d/274","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
"axe","Firefox","https://www.rcmp-grc.gc.ca/detach/en/d/274","0","All page content must be contained by landmarks","Ensures all page content is contained by landmarks"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/use-non-rcmp-video-conferencing-services-covid-19-pandemic-response","0","ARIA role must be appropriate for the element","Ensures role attribute has an appropriate value for the element"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/use-non-rcmp-video-conferencing-services-covid-19-pandemic-response","0","Form elements must have labels","Ensures every form element has a label"
"axe","Firefox","https://www.rcmp-grc.gc.ca/en/use-non-rcmp-video-conferencing-services-covid-19-pandemic-response","0","<li> elements must be contained in a <ul> or <ol>","Ensures <li> elements are used semantically"
