"csvline","url","filename","local_path","encrypted","decrypt_pass","istagged","pages","toc","form","fields","tables","word_count","char_count","words_per_page","chars_per_word","image_count","%_img_per_page","ocr_risk","author","creator","producer","subject","title","text"
"2","https://www.rcmp-grc.gc.ca/wam/media/3629/original/4197abb73a62ee62699ba3c2d000b842.pdf","4197abb73a62ee62699ba3c2d000b842.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\4197abb73a62ee62699ba3c2d000b842.pdf","FALSE","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","3","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"3","https://www.rcmp-grc.gc.ca/wam/media/3633/original/eac635de7d2c3fd49575350060f8c146.pdf","eac635de7d2c3fd49575350060f8c146.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\eac635de7d2c3fd49575350060f8c146.pdf","FALSE","NA","IsTagged: type object 'PDFDocument' has no attribute 'is_extractable'","Page Count: type object 'PDFDocument' has no attribute 'is_extractable'","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","3","IMG: float division by zero","OCR: '>' not supported between instances of 'type' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"4","https://www.rcmp-grc.gc.ca/wam/media/1863/original/085105ce141e2018e5edca303816238f.pdf","085105ce141e2018e5edca303816238f.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\085105ce141e2018e5edca303816238f.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","150.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"5","https://www.rcmp-grc.gc.ca/wam/media/1100/original/45a10704156a5b7e195581c6ede165f6.pdf","45a10704156a5b7e195581c6ede165f6.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\45a10704156a5b7e195581c6ede165f6.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","150.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"6","https://www.rcmp-grc.gc.ca/pp/protect-policing-police-eng.pdf","protect-policing-police-eng.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\protect-policing-police-eng.pdf","FALSE","NA","FALSE","2","TRUE","FALSE","0","NOT RUN","427","3540","213.5","8.2903981264637","3","250.0","1","NULL","b'Print Server 120'","b'Corel PDF Engine Version 11.2.0.602'","NULL","NULL","[ PAGE 1 START ] Protective PolicingOverviewProtective Policing business line ispart of Federal Services provided bythe RCMP.  In the 1950s and 1960s RCMP members were assigned toCanadian dignitaries and major visitsfor ceremonial presence as well as forsecurity. It is only in the 1970s that ProtectivePolicing was established as anindependent  identifiable functionwithin the RCMP.Protection is extended to Canadian andforeign dignitaries  persons designatedby the Minister of Public Safety  majorevents held in Canada  and Canadianair carriers.Canadian DignitariesThe RCMP is mandated at all times during both private and officialfunctions  for the personal protectionof the Governor General of Canada the Prime Minister  their families andresidences. When traveling abroad  theGovernor General and the PrimeMinister are accompanied byProtective Policing members. Thesemembers maintain communicationwith local protective and lawenforcement authorities  ensuring thatappropriate levels of protection areprovided. The security measures implementedare commensurate with the high profilepositions held by the GovernorGeneral as the representative of theHead of State and of the PrimeMinister as the Head of Government.The RCMP continuously assesses thesecurity requirements  and as a matterof practice makes recommendations tothe Governor General and PrimeMinister with respect to the effectivedelivery of security measures  whichwould include advice regardingtransportation. For security and safetyreasons  the RCMP requests that alltheir air movements be on governmentaircraft. Protective Policing is responsible forthe safety of Supreme and FederalCourt judges  as well as FederalCabinet Ministers.  Protective Policingalso secure designated protected sites including the grounds of ParliamentHill  Rideau Hall  and the SupremeCourt of Canada. It also has a TrafficUnit that is responsible for enforcingprovincial and federal traffic acts onNational Capital Commissionroadways in the National CapitalRegion.Foreign DignitariesInternationally Protected Persons  suchas Heads of State and government andforeign diplomats  are provided withprotection while in Canada.Major EventsSecurity at significant national orQuick FactsRCMP ProtectivePolicing is responsiblefor:\xc5\x81\nOver 125 embassiesand highcommissions in theNational CapitalRegion;\xc5\x81\nThe protection of 500Resident ForeignDiplomatic Missions;\xc5\x81\nApproximately 500foreign Consulatesacross Canada; \xc5\x81\nThe security ofapproximately 500visits by foreigndignitaries andInternationallyProtected Persons peryear; \xc5\x81\nResponding toapproximately 600demonstrations ayear on average; and\xc5\x81\nProviding speciallytrained policeofficers on boardselect Canadianregistered aircraft.'[ PAGE 1 END ][ PAGE 2 START ] Protective Policinginternational events hosted by theFederal Government  including RoyalVisits and international summits fallunder the mandate of ProtectivePolicing.  Additionally  certain eventscan be designated to receive RCMPsecurity  such as the Olympic andParalympic Games.Air TravelIn 2001  as a result of an initiative putforward by Transport Canada  theRCMP entered into an agreement withCanadian Air Transport SecurityAuthority (CATSA) to providespecially-trained RCMP police officerson board select Canadian registeredaircraft.Protective Policing is responsible forthe training and deployment of tacticalAircraft Protective Officers (APOs) forselected domestic and internationalflights.  These APOs have a mandateto respond to security threats on boardselect Canadian registered aircraft.'[ PAGE 2 END ]"
"7","https://www.rcmp-grc.gc.ca/form/6330-eng.pdf","6330-eng.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\6330-eng.pdf","ENCRYPTED","ENCRYPTED","TRUE","1","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","300.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"8","https://www.rcmp-grc.gc.ca/wam/media/2147/original/46c8dacc1de794269d946657ccffe0fa.pdf","46c8dacc1de794269d946657ccffe0fa.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\46c8dacc1de794269d946657ccffe0fa.pdf","ENCRYPTED","ENCRYPTED","TRUE","6","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","3","83.33333333333334","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"9","https://www.rcmp-grc.gc.ca/wam/media/2363/original/2948c40f01bbc3470bed9c8358ff738b.pdf","2948c40f01bbc3470bed9c8358ff738b.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\2948c40f01bbc3470bed9c8358ff738b.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","3","250.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"10","https://www.rcmp-grc.gc.ca/form/4553-eng.pdf","4553-eng.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\4553-eng.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","150.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"11","https://www.rcmp-grc.gc.ca/wam/media/2359/original/9f11d327e98de4fa3d83198ef9a6024f.pdf","9f11d327e98de4fa3d83198ef9a6024f.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\9f11d327e98de4fa3d83198ef9a6024f.pdf","ENCRYPTED","ENCRYPTED","TRUE","5","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","3","100.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"12","https://www.rcmp-grc.gc.ca/wam/media/3201/original/4a212c6e1779edcd0dd08057d4e37d1b.pdf","4a212c6e1779edcd0dd08057d4e37d1b.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\4a212c6e1779edcd0dd08057d4e37d1b.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","150.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
"13","https://www.rcmp-grc.gc.ca/form/6378-eng.pdf","6378-eng.pdf","E:\PROJECTS\perception-dev\REPORTS\RCMP\PDF\6378-eng.pdf","ENCRYPTED","ENCRYPTED","TRUE","2","TOC FAILED: file has not been decrypted","FORMS: file has not been decrypted","FIELDS: file has not been decrypted","NOT RUN","File has not been decrypted :: TEXT sample failed!!","File has not been decrypted :: TEXT sample failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","unsupported operand type(s) for /: 'str' and 'str' :: WORD METRICS failed!!","1","150.0","OCR: '<' not supported between instances of 'str' and 'int'","AUTHOR: 'PdfFileReader' object has no attribute 'author'","CREATOR: 'PdfFileReader' object has no attribute 'creator'","PRODUCER: 'PdfFileReader' object has no attribute 'producer'","SUBJECT: 'PdfFileReader' object has no attribute 'subject'","TITLE: 'PdfFileReader' object has no attribute 'title'","File has not been decrypted :: TEXT sample failed!!"
