"Site Crawled","http://restart/"
"Date","Tuesday, Aug. 18, 2020"
"Time","13:22:52 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"Total URLs Encountered","1","100.00%","1","URLs Encountered"
"Total URLs Crawled","1","100.00%","1","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","1","URLs Encountered"
"Total External blocked by robots.txt","0","0.00%","1","URLs Encountered"
""
"URLs Displayed","1","100.00%","1","URLs Displayed"
"Total Internal URLs","1","100.00%","1","URLs Displayed"
"Total External URLs","0","0.00%","1","URLs Displayed"
""
"Internal"
"All","1","100.00%","1","Internal URLs"
"HTML","0","0.00%","1","Internal URLs"
"JavaScript","0","0.00%","1","Internal URLs"
"CSS","0","0.00%","1","Internal URLs"
"Images","0","0.00%","1","Internal URLs"
"PDF","0","0.00%","1","Internal URLs"
"Flash","0","0.00%","1","Internal URLs"
"Other","1","100.00%","1","Internal URLs"
"Unknown","0","0.00%","1","Internal URLs"
""
"External"
"All","0","0.00%","0","External URLs"
"HTML","0","0.00%","0","External URLs"
"JavaScript","0","0.00%","0","External URLs"
"CSS","0","0.00%","0","External URLs"
"Images","0","0.00%","0","External URLs"
"PDF","0","0.00%","0","External URLs"
"Flash","0","0.00%","0","External URLs"
"Other","0","0.00%","0","External URLs"
"Unknown","0","0.00%","0","External URLs"
""
"Security"
"All","1","100.00%","1","All internal and non-HTML external URLs"
"HTTP URLs","1","100.00%","1","All internal and non-HTML external URLs"
"HTTPS URLs","0","0.00%","1","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","1","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","1","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","1","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","1","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","1","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","1","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","0","0.00%","1","All internal and non-HTML external URLs"
