"Address","Content","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-04-29/eap_logo_external_rotator_1179x600.jpg?sc=9c54f524a5f9534c418cd068f8aa3e9a","image/jpeg","112864","4","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/86/small/b5beb717fe9830db1730e9cb020a9c27.gif","image/gif","1619","4","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-26/scam3-fe.jpg?sc=9c54f524a5f9534c418cd068f8aa3e9a","image/jpeg","103809","4","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-25/publicsite-rotator-no-virus-1179x600.jpg?sc=451e38217b9242219ec93b5ead895299","image/jpeg","69851","3","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/1697/small/54fa05431c02e176fc3fc39dc17e1864.jpg","image/jpeg","2866","2","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/1699/small/6926e1956e4fe708ec536ee7dbe59d1e.jpg","image/jpeg","2622","2","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/1698/small/d820bceb91c77f35f741625d10676119.jpg","image/jpeg","0","2","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/1700/medium/97dd71479267209bde952b902c70198b.jpg","image/jpeg","0","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/carousel/public/features/2020-05-25/publicsite-rotator-no-virus-1179x600_1.jpg?sc=451e38217b9242219ec93b5ead895299","image/jpeg","69851","1","Indexable",""
"https://www.rcmp-grc.gc.ca/inc/images/lffl.gif","image/gif","4204","1373","Indexable",""
"https://www.rcmp-grc.gc.ca/theme/images/tphp.gif","image/gif","397","1373","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/widziak-150.gif","image/gif","41121","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/armstrong-full-complet.jpg","image/jpeg","11559","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/profiles/wanted/GIBSON%2C%20Michael%201986-10-21.jpg","image/jpeg","8912","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/barri-wanji-150.jpg","image/jpeg","15642","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/profiles/wanted/mcconnell_brian_pic.png","image/png","120751","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/carroll-150.jpg","image/jpeg","12502","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/rue-street-bijsterveld-150.jpg","image/jpeg","13585","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/ho-150.jpg","image/jpeg","7942","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/wei-150.jpg","image/jpeg","10341","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/profiles/wanted/clark_thomas_michael.jpg","image/jpeg","14177","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/shleimon-150.jpg","image/jpeg","12235","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/ahmed-150.jpg","image/jpeg","11698","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/jemmott-150.jpg","image/jpeg","9945","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/shanmugarajah.jpg","image/jpeg","8899","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/kiriopoulos-150.jpg","image/jpeg","11820","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/santana-l-g.jpg","image/jpeg","10712","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/dmonte-150.jpg","image/jpeg","10444","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/sheikhadem-150.jpg","image/jpeg","9521","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/sekhon-150.jpg","image/jpeg","9511","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/krumlik-150.jpg","image/jpeg","13429","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/estephan-150.jpg","image/jpeg","9608","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/lima-150.gif","image/gif","63059","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/riquelme-150.jpg","image/jpeg","9178","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/kract-us-eu1.jpg","image/jpeg","11511","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/gleeson-150.jpg","image/jpeg","10111","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/emery-150.jpg","image/jpeg","10351","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/musse150.jpg","image/jpeg","8420","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/cruz-150.jpg","image/jpeg","9083","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/sodagari-150.jpg","image/jpeg","9688","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/gonzalez150.jpg","image/jpeg","11757","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/pictou-150.jpg","image/jpeg","10880","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/feuerwerker-150.jpg","image/jpeg","13864","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/suspect-sa-as-150.jpg","image/jpeg","7000","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/mccogg-150.jpg","image/jpeg","13553","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/ghanad-150.jpg","image/jpeg","8472","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/patel-150.gif","image/gif","45891","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/billone-150.gif","image/gif","36541","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/akbarian-150.gif","image/gif","46601","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/manickavasagar-150.jpg","image/jpeg","10742","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/dadgar-kiani-150.jpg","image/jpeg","11329","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/batalha-150.jpg","image/jpeg","7137","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/vermette.jpg","image/jpeg","14872","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/starostik-150.jpg","image/jpeg","10091","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/pyszniak-150.jpg","image/jpeg","11659","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/aljallad-150.jpg","image/jpeg","10566","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/shi-150.jpg","image/jpeg","9418","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/fung-140.jpg","image/jpeg","9114","2","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/balgobin-150.jpg","image/jpeg","9431","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/needham-150.jpg","image/jpeg","12766","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/tsang150.gif","image/gif","58613","3","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile/public/ameeriar-150.jpg","image/jpeg","9798","2","Indexable",""
