"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","Meta Keyword 2","Meta Keywords 2 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.rcmp-grc.gc.ca/","text/html; charset=utf-8","200","OK","Indexable","","National Home Page | Royal Canadian Mounted Police","50","476","","0","0","","0","","0","","0","","0","Language selection","18","Search and menus","16","","","","","","","","","16038","170","7.3018646","0","1","7","1","0.05","40","26","","","ccedc380571d319e5cf1a11ef36155df","0.045","","","","https://www.rcmp-grc.gc.ca/"
"https://www.rcmp-grc.gc.ca/en","text/html; charset=utf-8","200","OK","Indexable","","National Home Page | Royal Canadian Mounted Police","50","476","","0","0","","0","","0","","0","","0","Language selection","18","Search and menus","16","","","","","","","","","16038","170","7.3018646","1","50","2149","1073","54.61","40","25","","","5d030ce866c5dae94a2d2e1a407ef30e","0.135","","","","https://www.rcmp-grc.gc.ca/en"
"https://www.rcmp-grc.gc.ca/en/firearms","text/html; charset=utf-8","200","OK","Indexable","","Firearms | Royal Canadian Mounted Police","40","375","","0","0","","0","","0","Firearms","8","","0","Language selection","18","Search and menus","16","","","","","","","","","17724","379","15.247446","1","6","51","46","2.34","43","38","","","3788843cc90b57c0fe705f424ccdee2a","0.14","","","","https://www.rcmp-grc.gc.ca/en/firearms"
"https://www.rcmp-grc.gc.ca/fr","text/html; charset=utf-8","200","OK","Indexable","","Page d'accueil nationale | Gendarmerie royale du Canada","55","505","","0","0","","0","","0","","0","","0","Sélection de la langue","22","Recherche et menus","18","","","","","","","","","16580","224","9.037055","1","42","1645","821","41.78","36","23","","","769f842dd2a005b86c482593ae30c166","0.233","","","","https://www.rcmp-grc.gc.ca/fr"
"https://www.rcmp-grc.gc.ca/fam/index-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Family Corner - Royal Canadian Mounted Police","45","421","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Retirement, Pension and Benefits","32","index, follow","","","","","","","","13868","249","12.44951","1","16","710","682","34.71","49","43","","","58cbc82f0578b536c8912600580a721d","0.208","","","","https://www.rcmp-grc.gc.ca/fam/index-eng.htm"
"https://www.rcmp-grc.gc.ca/en/az-index","text/html; charset=utf-8","200","OK","Indexable","","A-Z site index | Royal Canadian Mounted Police","46","417","","0","0","","0","","0","A-Z site index","14","","0","Language selection","18","Search and menus","16","","","","","","","","","40469","1379","24.629337","1","52","1136","1105","56.23","291","171","","","105d7e1d967c8763e2b588bb4c096f27","0.115","","","","https://www.rcmp-grc.gc.ca/en/az-index"
"https://www.rcmp-grc.gc.ca/cont/index-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Contact Us - Royal Canadian Mounted Police","42","395","","0","0","","0","","0","Common menu bar links","21","Institutional links","19","Frequently Asked Questions","26","Provincial Contacts","19","","","","","","","","","13873","267","13.375153","1","51","1113","1106","56.28","45","39","","","14e73fa54a829453d5d80871320fd411","0.464","","","","https://www.rcmp-grc.gc.ca/cont/index-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe","text/html; charset=utf-8","200","OK","Indexable","","Mental health services available to RCMP employees - Royal Canadian Mounted Police","82","763","","0","0","","0","","0","Common menu bar links","21","Institutional links","19","Table of Contents","17","Introduction","12","","","","","","","","","27752","2136","51.83437","1","2","29","5","0.25","49","23","","","eec751d171ff28ab00137ee8bb653b07","0.326","","","","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm?fe"
"https://www.rcmp-grc.gc.ca/even/en/t/2/e","text/html; charset=utf-8","200","OK","Indexable","","Musical Ride tour schedule | Royal Canadian Mounted Police","58","532","","0","0","","0","","0","Musical Ride tour schedule","26","","0","Language selection","18","Search and menus","16","","","","","","","","","13614","369","17.490635","1","3","8","5","0.25","19","15","","","40557ffa92a5a49ca78f3e74e34164da","0.584","","","","https://www.rcmp-grc.gc.ca/even/en/t/2/e"
"https://www.rcmp-grc.gc.ca/en/wanted","text/html; charset=utf-8","200","OK","Indexable","","Wanted by the RCMP | Royal Canadian Mounted Police","50","489","","0","0","","0","","0","Wanted by the RCMP","18","","0","Language selection","18","Search and menus","16","","","","","","","","","84941","849","7.284051","1","8","104","101","5.14","125","121","","","fc0c60eb32828a6350f5af2270ac73d4","0.305","","","","https://www.rcmp-grc.gc.ca/en/wanted"
"https://www.rcmp-grc.gc.ca/en/national-security-information-network","text/html; charset=utf-8","200","OK","Indexable","","National Security Information Network | Royal Canadian Mounted Police","69","627","","0","0","","0","","0","National Security Information Network","37","","0","Language selection","18","Search and menus","16","","","","","","","","","12922","244","12.903476","1","4","12","9","0.46","22","18","","","31fd067e20bbd178b08813743fc231b3","1.084","","","","https://www.rcmp-grc.gc.ca/en/national-security-information-network"
"https://www.rcmp-grc.gc.ca/en/firearms/licensing","text/html; charset=utf-8","200","OK","Indexable","","Licensing | Royal Canadian Mounted Police","41","378","","0","0","","0","","0","Licensing","9","","0","Language selection","18","Search and menus","16","","","","","","","","","14064","362","16.120316","2","4","21","12","0.61","31","26","","","dd42a47ba13a1f1c55ad972d7b4ba114","0.184","","","","https://www.rcmp-grc.gc.ca/en/firearms/licensing"
"https://www.rcmp-grc.gc.ca/en/firearms/firearms-reference-table","text/html; charset=utf-8","200","OK","Indexable","","Firearms Reference Table | Royal Canadian Mounted Police","56","527","","0","0","","0","","0","Firearms Reference Table","24","","0","Language selection","18","Search and menus","16","","","","","","","","","16878","650","25.911003","2","1","9","4","0.2","21","15","","","e731c49adc2662fc7573d43a1aca141f","0.19","","","","https://www.rcmp-grc.gc.ca/en/firearms/firearms-reference-table"
"https://www.rcmp-grc.gc.ca/en/firearms/need-know-the-government-canadas-new-prohibition-certain-firearms-and-devices","text/html; charset=utf-8","200","OK","Indexable","","What you need to know about the Government of Canada’s new prohibition on certain firearms and devices | Royal Canadian Mounted Police","134","1233","","0","0","","0","","0","What you need to know about the Government of Canada’s new prohibition on certain firearms and devices","102","","0","Language selection","18","Search and menus","16","","","","","","","","","20816","1318","40.19801","2","1","10","3","0.15","23","15","","","42624b88698529b5c667eda9b0b31bc6","0.211","","","","https://www.rcmp-grc.gc.ca/en/firearms/need-know-the-government-canadas-new-prohibition-certain-firearms-and-devices"
"https://www.rcmp-grc.gc.ca/en/firearms/executors-and-heirs","text/html; charset=utf-8","200","OK","Indexable","","Executors and heirs | Royal Canadian Mounted Police","51","470","","0","0","","0","","0","Executors and heirs","19","","0","Language selection","18","Search and menus","16","","","","","","","","","14535","465","18.941792","2","1","6","3","0.15","20","16","","","7b09c9ca1121e5f3e750d17a1c3ad535","0.23","","","","https://www.rcmp-grc.gc.ca/en/firearms/executors-and-heirs"
"https://www.rcmp-grc.gc.ca/en/firearms/firearms-forms","text/html; charset=utf-8","200","OK","Indexable","","Firearms forms | Royal Canadian Mounted Police","46","431","","0","0","","0","","0","Firearms forms","14","","0","Language selection","18","Search and menus","16","","","","","","","","","24972","1012","25.843147","2","2","42","18","0.92","52","33","","","946c81a8fd3b8bad260b67ae4b6d2381","0.231","","","","https://www.rcmp-grc.gc.ca/en/firearms/firearms-forms"
"https://www.rcmp-grc.gc.ca/en/firearms/classes-firearms","text/html; charset=utf-8","200","OK","Indexable","","Classes of firearms | Royal Canadian Mounted Police","51","468","","0","0","","0","","0","Classes of firearms","19","","0","Language selection","18","Search and menus","16","","","","","","","","","21711","1352","39.700596","2","1","15","5","0.25","29","21","","","b2389e507e9d28b3e45541f4552428d9","0.277","","","","https://www.rcmp-grc.gc.ca/en/firearms/classes-firearms"
"https://www.rcmp-grc.gc.ca/en/locations","text/html; charset=utf-8","200","OK","Indexable","","Locations | Royal Canadian Mounted Police","41","381","","0","0","","0","","0","Locations","9","","0","Language selection","18","Search and menus","16","","","","","","","","","14810","107","5.0914984","1","52","1113","1105","56.23","47","28","","","705d44b0ede445c387ae7e4c0fafddeb","1.447","","","","https://www.rcmp-grc.gc.ca/en/locations"
"https://www.rcmp-grc.gc.ca/fr/nouvelles","text/html; charset=utf-8","200","OK","Indexable","","Nouvelles | Gendarmerie royale du Canada","40","377","","0","0","","0","","0","Nouvelles","9","","0","Sélection de la langue","22","Recherche et menus","18","","","","","","","","","46126","1175","16.04039","2","19","759","751","38.22","86","70","","","d262ba8a2fc045c077b79b1e58998dfe","0.112","","","","https://www.rcmp-grc.gc.ca/fr/nouvelles"
"https://www.rcmp-grc.gc.ca/en/help-us","text/html; charset=utf-8","200","OK","Indexable","","Help us | Royal Canadian Mounted Police","39","362","","0","0","","0","","0","Help us","7","","0","Language selection","18","Search and menus","16","","","","","","","","","11410","110","6.5825224","1","39","434","430","21.88","20","15","","","f3852c9f44129be434bd72c3eef9e4ce","1.414","","","","https://www.rcmp-grc.gc.ca/en/help-us"
"https://www.rcmp-grc.gc.ca/cont/comment-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Contact us via web form","23","213","","0","0","","0","","0","Contact us via web form","23","","0","Language selection","18","Menu","4","","","","","","","","","14786","364","17.095116","2","2","12","7","0.36","18","14","","","984e8a2357d075aa31acae465a4c1dce","0.197","","","","https://www.rcmp-grc.gc.ca/cont/comment-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Mental health services available to RCMP employees - Royal Canadian Mounted Police","82","763","","0","0","","0","","0","Common menu bar links","21","Institutional links","19","Table of Contents","17","Introduction","12","","","","","","","","","27752","2136","51.83437","2","2","57","22","1.12","49","23","","","eec751d171ff28ab00137ee8bb653b07","0.156","","","","https://www.rcmp-grc.gc.ca/fam/ptsd-tspt-eng.htm"
"https://www.rcmp-grc.gc.ca/en/services","text/html; charset=utf-8","200","OK","Indexable","","Services | Royal Canadian Mounted Police","40","372","","0","0","","0","","0","Services","8","","0","Language selection","18","Search and menus","16","","","","","","","","","12605","197","10.12377","1","52","1111","1105","56.23","22","17","","","1fe24ad06f9a89bbda314c375af7624e","1.788","","","","https://www.rcmp-grc.gc.ca/en/services"
"https://www.rcmp-grc.gc.ca/help-aide/index-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Help","4","39","","0","0","","0","","0","Help","4","","0","Language selection","18","Menu","4","","","","","","","","","9412","161","10.469813","2","14","681","679","34.55","19","14","","","b1997cac48b2c1cc6b30bbf49a4e3fff","0.282","","","","https://www.rcmp-grc.gc.ca/help-aide/index-eng.htm"
"https://www.rcmp-grc.gc.ca/en/careers","text/html; charset=utf-8","200","OK","Indexable","","Careers | Royal Canadian Mounted Police","39","368","","0","0","","0","","0","Careers","7","","0","Language selection","18","Search and menus","16","","","","","","","","","13508","269","13.111719","1","52","1097","1084","55.17","22","17","","","5309c7f6ee5b63aa24f908875ba9d1af","1.966","","","","https://www.rcmp-grc.gc.ca/en/careers"
"https://www.rcmp-grc.gc.ca/fam/index-fra.htm","text/html; charset=utf-8","200","OK","Indexable","","Coin des familles - Gendarmerie royale du Canada","48","444","","0","0","famille, resources, ressources pour les familles, avantages sociaux, santé, PAME","80","","0","Liens de la barre de menu commune","33","Liens institutionnels","21","Santé","5","Retraite, pension et avantages sociaux","38","index, follow","","","","","","","","14399","304","14.261897","2","17","707","697","35.47","49","43","","","61931a0562ceb0e06e3d2d0ba7dc06dc","0.719","","","","https://www.rcmp-grc.gc.ca/fam/index-fra.htm"
"https://www.rcmp-grc.gc.ca/en/gazette/beware-covid-19-fraudsters?fe&fe","text/html; charset=utf-8","200","OK","Indexable","","Beware of COVID-19 fraudsters | Royal Canadian Mounted Police","61","581","","0","0","","0","","0","Beware of COVID-19 fraudsters","29","","0","Language selection","18","Search and menus","16","","","","","","","","","16077","554","22.072184","1","2","7","4","0.2","22","18","","","91799543702a1aeb3fb0129d49ef0e68","2.157","","","","https://www.rcmp-grc.gc.ca/en/gazette/beware-covid-19-fraudsters?fe&fe"
"https://www.rcmp-grc.gc.ca/technol/pki/index-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","RCMP Certificate Services Program","33","317","","0","0","","0","","0","RCMP Certificate Services Program","33","","0","Language selection","18","Menu","4","","","","","","","","","11080","197","13.217768","2","1","6","3","0.15","39","24","","","5538fb0a3f918b0703a8bb3ec9f7aff0","0.057","","","","https://www.rcmp-grc.gc.ca/technol/pki/index-eng.htm"
"https://www.rcmp-grc.gc.ca/en/criminal-record-checks","text/html; charset=utf-8","200","OK","Indexable","","Criminal record checks | Royal Canadian Mounted Police","54","497","","0","0","","0","","0","Criminal record checks","22","","0","Language selection","18","Search and menus","16","","","","","","","","","13920","274","12.0859375","2","5","17","9","0.46","24","20","","","5ab072dd7fc895c29611986e8f5b4968","0.111","","","","https://www.rcmp-grc.gc.ca/en/criminal-record-checks"
"https://www.rcmp-grc.gc.ca/hr-rh/10-04-discharge-renvoi-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Administrative discharge of RCMP members for medical reasons","60","567","","0","0","","0","","0","Administrative discharge of RCMP members for medical reasons","60","","0","Language selection","18","Menu","4","","","","","","","","","11910","501","27.42315","2","1","5","3","0.15","19","16","","","41bb088c42067022ab2498a708cbb1c7","0.189","","","","https://www.rcmp-grc.gc.ca/hr-rh/10-04-discharge-renvoi-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Notice of Approval of Settlement in the Class Action Regarding the Reduction of Long Term Disability Benefits - Royal Canadian Mounted Police","141","1257","","0","0","veterans affairs, retirees, disability, pensions, health benefit, operational stress injury clinic","98","","0","Common menu bar links","21","Institutional links","19","","0","","0","","","","","","","","","15794","710","27.321089","2","1","6","3","0.15","21","17","","","b51f6c64a2d25f185e93f3294911a180","0.839","","","","https://www.rcmp-grc.gc.ca/fam/long-term-eng.htm"
"https://www.rcmp-grc.gc.ca/en/terms-conditions","text/html; charset=utf-8","200","OK","Indexable","","Terms and conditions | Royal Canadian Mounted Police","52","484","","0","0","","0","","0","Terms and conditions","20","","0","Language selection","18","Search and menus","16","","","","","","","","","34081","2971","56.7811","1","53","1105","1091","55.52","28","15","","","f5e98947e942c4661090929339f663f8","2.296","","","","https://www.rcmp-grc.gc.ca/en/terms-conditions"
"https://www.rcmp-grc.gc.ca/even/fr/t/2/e","text/html; charset=utf-8","200","OK","Indexable","","Horaire de la tournée du Carrousel | Gendarmerie royale du Canada","65","597","","0","0","","0","","0","Horaire de la tournée du Carrousel","34","","0","Sélection de la langue","22","Recherche et menus","18","","","","","","","","","13857","399","18.511286","2","2","6","3","0.15","19","15","","","e4b926d0dc7e4cc1bd9c881c0bfcc64","1.079","","","","https://www.rcmp-grc.gc.ca/even/fr/t/2/e"
"https://www.rcmp-grc.gc.ca/fam/b-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Newfoundland and Labrador - Royal Canadian Mounted Police","57","545","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Transportation","14","index, follow","","","","","","","","14604","327","15.534246","2","1","5","3","0.15","22","18","","","f7167de178fda39b4b472ae9c450a20a","0.957","","","","https://www.rcmp-grc.gc.ca/fam/b-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/c-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Quebec - Royal Canadian Mounted Police","38","367","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Transportation","14","index, follow","","","","","","","","14232","302","14.148158","2","1","4","2","0.1","22","18","","","e0b158f3b024777f2d959fa7a1158407","0.968","","","","https://www.rcmp-grc.gc.ca/fam/c-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/vac-acc-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","VAC services and benefits available to RCMP members - Royal Canadian Mounted Police","83","786","","0","0","veterans affairs, retirees, disability, pensions, health benefit, operational stress injury clinic","98","","0","Common menu bar links","21","Institutional links","19","Help after a service-related injury or illness","46","Help for You and Your Family","28","","","","","","","","","14750","559","25.803608","2","1","8","6","0.31","21","17","","","6584219d94d7c5e602c0fe9f6a369428","1.055","","","","https://www.rcmp-grc.gc.ca/fam/vac-acc-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/sosi-sbso-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Support for Operational Stress Injury Program (SOSI) - Royal Canadian Mounted Police","84","771","","0","0","","0","","0","Common menu bar links","21","Institutional links","19","Support. Connection. Resilience.","32","The first step in the road to wellness","38","","","","","","","","","12832","307","16.409416","2","1","9","7","0.36","21","17","","","32893764b84e510ce6e23e2fbf349ae9","1.05","","","","https://www.rcmp-grc.gc.ca/fam/sosi-sbso-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/m-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Yukon - Royal Canadian Mounted Police","37","353","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Transportation","14","index, follow","","","","","","","","14099","296","14.161051","2","1","4","2","0.1","22","18","","","c63967e47d2bc932e7adce96a8b8169c","1.074","","","","https://www.rcmp-grc.gc.ca/fam/m-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/n-card-carte-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","New Record of Service Card for Regular and Civilian Members who leave the RCMP - Royal Canadian Mounted Police","110","1038","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Applying for a card","19","","0","index, follow","","","","","","","","12573","298","14.861962","2","1","5","3","0.15","21","17","","","64ac1f880d74e9a233ab129912c8a456","0.976","","","","https://www.rcmp-grc.gc.ca/fam/n-card-carte-eng.htm"
"https://www.rcmp-grc.gc.ca/fam/g-eng.htm","text/html; charset=utf-8","200","OK","Indexable","","Northwest Territories - Royal Canadian Mounted Police","53","483","","0","0","family, resources, benefits, health, MEAP","41","","0","Common menu bar links","21","Institutional links","19","Health","6","Transportation","14","index, follow","","","","","","","","14149","299","14.556379","2","1","4","2","0.1","22","18","","","ff66f739cbbd3b08cd3650ae8ddc199","1.006","","","","https://www.rcmp-grc.gc.ca/fam/g-eng.htm"
"https://www.rcmp-grc.gc.ca/en/stay-connected","text/html; charset=utf-8","200","OK","Indexable","","Stay connected | Royal Canadian Mounted Police","46","433","","0","0","","0","","0","Stay connected","14","","0","Language selection","18","Search and menus","16","","","","","","","","","21221","381","12.426956","1","38","459","430","21.88","41","34","","","ffdb4bebc823f6cfd0eaf71ce9fcfef7","2.707","","","","https://www.rcmp-grc.gc.ca/en/stay-connected"
